4,1.745455,9.720000,
4,3.490909,9.720000,
4,5.236364,9.720000,
4,6.981819,9.720000,
4,8.727273,9.720000,
4,10.472728,9.720000,
4,12.218183,9.720000,
4,13.963637,9.720000,
4,15.709091,9.720000,
4,17.454546,9.720000,
3,1.745455,8.640000,
3,3.490909,8.640000,
3,5.236364,8.640000,
3,6.981819,8.640000,
3,8.727273,8.640000,
3,10.472728,8.640000,
3,12.218183,8.640000,
3,13.963637,8.640000,
3,15.709091,8.640000,
3,17.454546,8.640000,
2,1.745455,7.560000,
2,3.490909,7.560000,
2,5.236364,7.560000,
2,6.981819,7.560000,
2,8.727273,7.560000,
2,10.472728,7.560000,
2,12.218183,7.560000,
2,13.963637,7.560000,
2,15.709091,7.560000,
2,17.454546,7.560000,
